dataset,subset,target_layer,training_dataset,validation_dataset,test_dataset,model_name,n_features,degree,activation,batch_size,num_epochs_overfit,overfitting_target,overfitting_prediction,num_epochs_training,loss,leaning_rate,training_loss,val_loss,mae-train,mse-train,rmse-train,rmspe-train,mae-val,mse-val,rmse-val,rmspe-val,mae-test,mse-test,rmse-test,rmspe-test
LayerWiseDatasetv2Large,pretrained,pad,1113,0,209,PolynomialRegression,4,1,,,,5.118443284162682,5.118443284162682,,,,,,4.663425440627191,297.0984928779018,17.2365452709614,0.6451722937610755,,,,,4.460900575776842,91.88139461576205,9.585478319612541,0.8610011256202619
LayerWiseDatasetv2Large,pretrained,normalization,12901,0,3141,PolynomialRegression,3,1,,,,10.361349638377792,10.361349638377792,,,,,,2.321829369935023,15.75832034987367,3.9696750937417624,0.34472157287277844,,,,,3.0057312796526543,503.20976267232595,22.432337432205454,0.3098874410746673
LayerWiseDatasetv2Large,pretrained,activation,11070,0,2593,PolynomialRegression,2,1,,,,10.249364217036511,10.249364217036511,,,,,,4.679330907693413,178.88613042547885,13.374831977467188,0.8739272679285164,,,,,4.815447796525059,198.6256959570175,14.093462880251167,0.816684669639069
LayerWiseDatasetv2Large,pretrained,rescaling,61,0,18,PolynomialRegression,2,1,,,,6.201369670412275,6.201369670412275,,,,,,1.6055048290128124,4.038704826439583,2.0096529119327005,0.2545033910363605,,,,,1.3782364472068538,2.8871702326726423,1.6991675116575888,0.2655767175652136
LayerWiseDatasetv2Large,pretrained,reshape,1379,0,408,PolynomialRegression,3,1,,,,8.794659942676677,8.794659942676677,,,,,,1.7518676570465441,4.452208518223621,2.1100257150621697,0.270841655785918,,,,,1.505626309160906,3.792470838668473,1.9474267222846853,0.253519482340467
LayerWiseDatasetv2Large,pretrained,dropout,1208,0,341,PolynomialRegression,3,1,,,,4.377922174731096,4.377922174731096,,,,,,1.021546254392994,1.4752774761975151,1.214610009919857,0.27503110819915755,,,,,0.8654093428124253,1.1682296071770568,1.08084670845456,0.24628803500209548
LayerWiseDatasetv2Large,pretrained,add,2937,0,601,PolynomialRegression,2,1,,,,3.4015625222524,3.4015625222524,,,,,,1.558204503579144,3.9217703479594013,1.9803460172301712,0.3579421797278134,,,,,1.8191233359872574,35.17994241427323,5.9312681961173555,0.31056524026838944
LayerWiseDatasetv2Large,pretrained,multiply,1379,0,408,PolynomialRegression,2,1,,,,5.4168629434535465,5.4168629434535465,,,,,,1.781140929592652,5.905524430372637,2.4301284802192327,0.4144184244129494,,,,,1.595873256287617,4.651335532772872,2.156695512299516,0.36537293830727197
LayerWiseDatasetv2Large,pretrained,concatenate,1027,0,368,PolynomialRegression,2,1,,,,7.133023878007887,7.133023878007887,,,,,,1.4145603052748106,4.880192821463764,2.209115846094035,0.3433743845702617,,,,,1.1358095470798835,4.168468596132044,2.0416827853836756,0.21967000529011677
LayerWiseDatasetv2Small,pretrained,dense,21,0,7,PolynomialRegression,4,1,,,,2.9901744427712957,2.9901744427712957,,,,,,0.22077576584074418,0.08383701807684048,0.28954622787534373,0.09010343550164071,,,,,0.18665842621940307,0.055141403350052,0.23482206742564038,0.04005136109761142
LayerWiseDatasetv2Small,pretrained,dense,21,0,7,PolynomialRegression,4,2,,,,2.9901744427712957,2.9901744427712957,,,,,,0.1442625120295999,0.03017627169843385,0.17371318803831173,0.053763735006524774,,,,,0.2501100474834637,0.1602198962844956,0.4002747759783217,0.08241175151670792
LayerWiseDatasetv2Small,pretrained,dense,21,0,7,PolynomialRegression,4,3,,,,2.9901744427712957,2.9901744427712957,,,,,,0.13464357225128118,0.028447690375926853,0.16866443127087244,0.052378740137633495,,,,,0.2390022533176941,0.15926015708637561,0.3990741248018664,0.08094561602797391
LayerWiseDatasetv2Small,pretrained,dense,21,0,7,PolynomialRegression,4,4,,,,2.9901744427712957,2.9901744427712957,,,,,,0.13146024479615748,0.027668312463704228,0.16633794655370804,0.05178511983042996,,,,,0.23614953635848535,0.15814167300818607,0.397670306922941,0.0800837780956703
LayerWiseDatasetv2Small,pretrained,conv,2077,0,428,PolynomialRegression,6,1,,,,1.7252215173563428,1.7252215173563428,,,,,,0.6248006486245881,0.6505716387534515,0.8065802122253257,0.2860658644223061,,,,,0.785695771032477,0.8324848247150112,0.9124060635018879,0.3643364677788342
LayerWiseDatasetv2Small,pretrained,conv,2077,0,428,PolynomialRegression,6,2,,,,1.7252215173563428,1.7252215173563428,,,,,,0.49964440208473876,0.4255441029750883,0.6523374149740978,0.22898132379737518,,,,,0.6121611787316191,0.6226631247343062,0.7890900612314834,0.3001957991501053
LayerWiseDatasetv2Small,pretrained,conv,2077,0,428,PolynomialRegression,6,3,,,,1.7252215173563428,1.7252215173563428,,,,,,0.38357110004707706,0.2697257514178614,0.5193512794033163,0.18383465979959304,,,,,0.4162794129454697,0.33970059635278316,0.5828383964297335,0.21350777509004967
LayerWiseDatasetv2Small,pretrained,conv,2077,0,428,PolynomialRegression,6,4,,,,1.7252215173563428,1.7252215173563428,,,,,,0.5113314149570276,0.4648191783960208,0.6817764871246447,0.25818357216049315,,,,,0.5093708962095514,0.5974111896790376,0.7729237929311257,0.3273660979942708
LayerWiseDatasetv2Small,pretrained,pool,47,0,9,PolynomialRegression,6,1,,,,1.5791126853263378,1.5791126853263378,,,,,,0.09644446473234826,0.01907720090882341,0.13812024076442747,0.07780263745538137,,,,,0.09824125869269884,0.014455056706191485,0.12022918408685757,0.07101911498088075
LayerWiseDatasetv2Small,pretrained,pool,47,0,9,PolynomialRegression,6,2,,,,1.5791126853263378,1.5791126853263378,,,,,,0.09356161422412236,0.01638627758623257,0.12800889651204939,0.07535295481467173,,,,,0.14497069649133587,0.04565611756656384,0.21367292193107634,0.13908120077720296
LayerWiseDatasetv2Small,pretrained,pool,47,0,9,PolynomialRegression,6,3,,,,1.5791126853263378,1.5791126853263378,,,,,,0.05087456725339254,0.008850923038408762,0.09407934437701382,0.056596735635742725,,,,,0.5316887424828013,2.037745030715608,1.4274960702977812,0.9903195221246889
LayerWiseDatasetv2Small,pretrained,pool,47,0,9,PolynomialRegression,6,4,,,,1.5791126853263378,1.5791126853263378,,,,,,0.04689948339552981,0.008703932410245193,0.09329486808096785,0.055961208180482204,,,,,1.1374992182308588,10.52103297573769,3.243614184168285,2.2506440895551716
LayerWiseDatasetv2Small,pretrained,inputlayer,20,0,5,PolynomialRegression,2,1,,,,0.9615247124984528,0.9615247124984528,,,,,,0.08876028458845736,0.02302319694472081,0.15173396766947345,0.10578127836195961,,,,,0.052925287738535685,0.002983660184950284,0.054622890668201404,0.0545750327331237
LayerWiseDatasetv2Small,pretrained,inputlayer,20,0,5,PolynomialRegression,2,2,,,,0.9615247124984528,0.9615247124984528,,,,,,0.08598343976149095,0.02188469962866139,0.14793478167307847,0.10848381437193488,,,,,0.03931987477216743,0.002438692172603751,0.049383116270682544,0.04680182297339607
LayerWiseDatasetv2Small,pretrained,inputlayer,20,0,5,PolynomialRegression,2,3,,,,0.9615247124984528,0.9615247124984528,,,,,,0.08182678646566008,0.02155468082024388,0.1468151246304136,0.10822205746905765,,,,,0.03714905460242139,0.0024877597680443594,0.04987744748926472,0.046851871573678545
LayerWiseDatasetv2Small,pretrained,inputlayer,20,0,5,PolynomialRegression,2,4,,,,0.9615247124984528,0.9615247124984528,,,,,,0.0816064144541207,0.021774276727150176,0.14756109489682628,0.10817327572134312,,,,,0.036911037336999894,0.0024358253971229113,0.049354081868908384,0.04642694786306812
LayerWiseDatasetv2Small,pretrained,pad,147,0,11,PolynomialRegression,4,1,,,,2.164331132287264,2.164331132287264,,,,,,0.03672640376781383,0.0064849313849083354,0.08052907167544113,0.030860984372565854,,,,,0.02679757550534526,0.0020793094129999065,0.045599445314607794,0.019931104746729763
LayerWiseDatasetv2Small,pretrained,pad,147,0,11,PolynomialRegression,4,2,,,,2.164331132287264,2.164331132287264,,,,,,0.04103017246713265,0.004704748032651186,0.06859116584991967,0.02843296882921179,,,,,0.09325407758033682,0.01624252096508155,0.12744614927521958,0.05654303912983396
LayerWiseDatasetv2Small,pretrained,pad,147,0,11,PolynomialRegression,4,3,,,,2.164331132287264,2.164331132287264,,,,,,0.03521439878890985,0.0027769131286897444,0.052696424249561225,0.023089386522912772,,,,,0.08502270776987056,0.013088889670154468,0.11440668542595957,0.051186934390810776
LayerWiseDatasetv2Small,pretrained,pad,147,0,11,PolynomialRegression,4,4,,,,2.164331132287264,2.164331132287264,,,,,,0.04586477638433755,0.006074780062417908,0.07794087542758234,0.035345587854750504,,,,,0.5353432483813134,1.433985033945049,1.1974911414891758,0.5204495959537631
LayerWiseDatasetv2Small,pretrained,normalization,1622,0,345,PolynomialRegression,3,1,,,,3.4082729255874953,3.4082729255874953,,,,,,0.11191413152770172,0.038158251513706345,0.19534137174113,0.05587683849239436,,,,,0.07225768378682562,0.029837903593614733,0.1727365149399939,0.10806909953354484
LayerWiseDatasetv2Small,pretrained,normalization,1622,0,345,PolynomialRegression,3,2,,,,3.4082729255874953,3.4082729255874953,,,,,,0.11149241195968286,0.03813070426801629,0.195270848484909,0.05587236367588166,,,,,0.07186142006045464,0.02967812350757426,0.17227339756205617,0.10783391525854095
LayerWiseDatasetv2Small,pretrained,normalization,1622,0,345,PolynomialRegression,3,3,,,,3.4082729255874953,3.4082729255874953,,,,,,0.11274698924798889,0.03782959905879617,0.19449832662209762,0.055641558760275496,,,,,0.06845318274984194,0.029469472986109885,0.17166674979771093,0.10741225360578155
LayerWiseDatasetv2Small,pretrained,normalization,1622,0,345,PolynomialRegression,3,4,,,,3.4082729255874953,3.4082729255874953,,,,,,0.11204430763787562,0.03755093140779512,0.19378062701878926,0.055385674327619906,,,,,0.06798878913519511,0.02953305363149479,0.17185183627617945,0.10730339539704747
LayerWiseDatasetv2Small,pretrained,activation,1402,0,285,PolynomialRegression,2,1,,,,1.2063340386600296,1.2063340386600296,,,,,,0.6888118506931362,0.6323384545124731,0.7951971167656942,0.3916353652045433,,,,,0.6730614483392742,0.5829683408886704,0.7635236347937571,0.3816502634741946
LayerWiseDatasetv2Small,pretrained,activation,1402,0,285,PolynomialRegression,2,2,,,,1.2063340386600296,1.2063340386600296,,,,,,0.668516839301672,0.6135654368301056,0.7833041789944093,0.38945631510943834,,,,,0.6924382071732983,0.6345324351148138,0.7965754421991766,0.40858747455233835
LayerWiseDatasetv2Small,pretrained,activation,1402,0,285,PolynomialRegression,2,3,,,,1.2063340386600296,1.2063340386600296,,,,,,0.6268270342408302,0.5677613345828402,0.7534993925563843,0.3875085114855576,,,,,0.7219704323578066,0.6589362859127639,0.8117489057046914,0.4711438139128913
LayerWiseDatasetv2Small,pretrained,activation,1402,0,285,PolynomialRegression,2,4,,,,1.2063340386600296,1.2063340386600296,,,,,,0.5965175832003234,0.5469051519809569,0.739530359066453,0.38551891504961494,,,,,0.7262225369185658,0.7100604963917154,0.8426508745570228,0.511716986068553
LayerWiseDatasetv2Small,pretrained,rescaling,9,0,2,PolynomialRegression,2,1,,,,2.0889446876239774,2.0889446876239774,,,,,,0.07737554826878612,0.008629933262229925,0.09289743409927921,0.043490331823238325,,,,,0.056128094837551545,0.0035784965251434227,0.059820535981746456,0.029226127462304678
LayerWiseDatasetv2Small,pretrained,rescaling,9,0,2,PolynomialRegression,2,2,,,,2.0889446876239774,2.0889446876239774,,,,,,0.04892092152081161,0.003566079420430474,0.05971665948820709,0.02904191120681197,,,,,0.057829173293117986,0.0034319797337662187,0.05858310109379853,0.028736779530586946
LayerWiseDatasetv2Small,pretrained,rescaling,9,0,2,PolynomialRegression,2,3,,,,2.0889446876239774,2.0889446876239774,,,,,,0.037376708863763666,0.0018459968891411983,0.042965065915708756,0.021264571803252624,,,,,0.016056979923731562,0.00026846971784192525,0.016385045555076288,0.008105178444903851
LayerWiseDatasetv2Small,pretrained,rescaling,9,0,2,PolynomialRegression,2,4,,,,2.0889446876239774,2.0889446876239774,,,,,,0.03778012292107914,0.0018862127791459482,0.0434305512185368,0.02149282831339231,,,,,0.01647071794837096,0.00028587356323239407,0.01690779593064673,0.008368690480635136
LayerWiseDatasetv2Small,pretrained,reshape,220,0,35,PolynomialRegression,3,1,,,,3.9911975628867156,3.9911975628867156,,,,,,0.10668065681364687,0.03127371751818852,0.1768437658448511,0.03932575053758347,,,,,0.03223992747731085,0.0019246345233791219,0.043870656746612786,0.010706899385963276
LayerWiseDatasetv2Small,pretrained,reshape,220,0,35,PolynomialRegression,3,2,,,,3.9911975628867156,3.9911975628867156,,,,,,0.10581690524221243,0.03120512503029477,0.1766497241161015,0.03924991925778597,,,,,0.029979193082226897,0.001743409226425071,0.0417541522057995,0.010206548839968462
